model,w_doc,w_query,w_topic,AUC
BM25_Best,3.0,3.0,1.0,0.5653684795608462
BM25_Best,3.0,3.0,1.5,0.5602616920885731
BM25_Best,3.0,3.0,2.0,0.5548648025162679
BM25_Best,-0.5,0.0,0.0,0.48522418888505936
BM25_Best,-0.5,0.0,0.5,0.4964462078498606
BM25_Best,-0.5,0.0,1.0,0.49929249295226985
BM25_Best,-0.5,0.0,1.5,0.5004147353529462
BM25_Best,-0.5,0.0,2.0,0.5009942399350755
BM25_Best,-0.5,0.5,0.0,0.5611100340677112
BM25_Best,-0.5,0.5,0.5,0.5386469223438821
BM25_Best,-0.5,0.5,1.0,0.5232434710917869
BM25_Best,-0.5,0.5,1.5,0.5170257271607884
BM25_Best,-0.5,0.5,2.0,0.5138190467668815
BM25_Best,-0.5,1.0,0.0,0.5675509561199631
BM25_Best,-0.5,1.0,0.5,0.5585119476332294
BM25_Best,-0.5,1.0,1.0,0.5415754861976428
BM25_Best,-0.5,1.0,1.5,0.5310701889852153
BM25_Best,-0.5,1.0,2.0,0.5248149970836978
BM25_Best,-0.5,1.5,0.0,0.5693066657387523
BM25_Best,-0.5,1.5,0.5,0.5657991312218128
BM25_Best,-0.5,1.5,1.0,0.5533310374818468
BM25_Best,-0.5,1.5,1.5,0.542402710761744
BM25_Best,-0.5,1.5,2.0,0.5346593394575678
BM25_Best,-0.5,2.0,0.0,0.5702198880758591
BM25_Best,-0.5,2.0,0.5,0.5687060437415862
BM25_Best,-0.5,2.0,1.0,0.5604471460743333
BM25_Best,-0.5,2.0,1.5,0.550741641038557
BM25_Best,-0.5,2.0,2.0,0.5428030947415243
BM25_Best,-0.5,3.0,0.0,0.5710553607671937
BM25_Best,-0.5,3.0,0.5,0.5706510552447779
BM25_Best,-0.5,3.0,1.0,0.5670747556492307
BM25_Best,-0.5,3.0,1.5,0.5609241566289904
BM25_Best,-0.5,3.0,2.0,0.5542343362908762
BM25_Best,-1.0,0.0,0.0,0.48522418888505936
BM25_Best,-1.0,0.0,0.5,0.49264325045438345
BM25_Best,-1.0,0.0,1.0,0.4964462078498606
BM25_Best,-1.0,0.0,1.5,0.49824816589635057
BM25_Best,-1.0,0.0,2.0,0.49929249295226985
BM25_Best,-1.0,0.5,0.0,0.5488254427476869
BM25_Best,-1.0,0.5,0.5,0.5323156377864383
BM25_Best,-1.0,0.5,1.0,0.5200183796995914
BM25_Best,-1.0,0.5,1.5,0.5147690542785687
BM25_Best,-1.0,0.5,2.0,0.5120491422684117
BM25_Best,-1.0,1.0,0.0,0.5611100340677112
BM25_Best,-1.0,1.0,0.5,0.5535921422595744
BM25_Best,-1.0,1.0,1.0,0.5386469223438821
BM25_Best,-1.0,1.0,1.5,0.5290701285971409
BM25_Best,-1.0,1.0,2.0,0.5232434710917869
BM25_Best,-1.0,1.5,0.0,0.565530938209744
BM25_Best,-1.0,1.5,0.5,0.5624308022629327
BM25_Best,-1.0,1.5,1.0,0.5509373131283674
BM25_Best,-1.0,1.5,1.5,0.5406495418607186
BM25_Best,-1.0,1.5,2.0,0.5332622208524439
BM25_Best,-1.0,2.0,0.0,0.5675509561199631
BM25_Best,-1.0,2.0,0.5,0.5662656106854489
BM25_Best,-1.0,2.0,1.0,0.5585119476332294
BM25_Best,-1.0,2.0,1.5,0.5492713571262346
BM25_Best,-1.0,2.0,2.0,0.5415754861976428
BM25_Best,-1.0,3.0,0.0,0.5693066657387523
BM25_Best,-1.0,3.0,0.5,0.5691670367277324
BM25_Best,-1.0,3.0,1.0,0.5657991312218128
BM25_Best,-1.0,3.0,1.5,0.5598755950434647
BM25_Best,-1.0,3.0,2.0,0.5533310374818468
