model,w1_doc,w2_query,w3_topic,AUC
BM25_Best,2.0,3.0,0.0,0.5782633370151918
BM25_Best,2.0,3.0,0.5,0.5783674544779389
BM25_Best,2.0,3.0,1.0,0.5768772495305616
BM25_Best,2.0,3.0,1.5,0.5741163172920204
BM25_Best,2.0,3.0,2.0,0.5704062433110505
BM25_Best,3.0,0.0,0.0,0.5420716154343032
BM25_Best,3.0,0.0,0.5,0.5446218279409232
BM25_Best,3.0,0.0,1.0,0.542119288414442
BM25_Best,3.0,0.0,1.5,0.5385189532615786
BM25_Best,3.0,0.0,2.0,0.5347993745565707
BM25_Best,3.0,0.5,0.0,0.5607538158615595
BM25_Best,3.0,0.5,0.5,0.5597365659823103
BM25_Best,3.0,0.5,1.0,0.5552498474220229
BM25_Best,3.0,0.5,1.5,0.5500953812635385
BM25_Best,3.0,0.5,2.0,0.5450678710618466
