Model,Outcome,Feature,Coefficient,Odds_Ratio,P_value,Lower_CI,Upper_CI,complexity
BM25_Best_Medium,1,6,0.33565923156731653,1.3988622554832346,1.7260281929403336e-05,1.0166084535714073,1.2916737206288187,Medium
BM25_Best_Medium,1,7,0.10877174276072216,1.1149078355105437,0.09152637156772948,1.1164065534843122,1.421481111216169,Medium
BM25_Best_Medium,1,8,0.2257674805565511,1.2532842184470159,0.00132188922986435,1.028715442034041,1.2978215746522812,Medium
BM25_Best_Medium,2,0,-0.027000993255504188,0.9733602747284062,0.6639714252836766,0.3908689493862117,0.535813208042071,Medium
BM25_Best_Medium,2,1,-0.21716306111687494,0.8047987272257313,0.0022349886030116695,1.2003112966139013,1.6302567636711016,Medium
BM25_Best_Medium,2,2,-0.016742709791794496,0.9833966704222126,0.8102983829594701,0.6173768877969986,0.8515943605125126,Medium
BM25_Best_Medium,2,3,0.05673117964943469,1.0583712604175475,0.3978679245940333,0.8871532432954787,1.1352992304955518,Medium
BM25_Best_Medium,2,4,-0.003846385102875488,0.996161002761079,0.9454202147562202,0.98258369643705,1.2650520115386836,Medium
BM25_Best_Medium,2,5,0.14449901367025456,1.1554605552980752,0.01478770486398821,0.7863645349561811,1.0068388067127496,Medium
BM25_Best_Medium,2,6,-0.3214602852782215,0.7250894261804472,8.934159808719542e-05,0.6011297155514703,0.7900478071202592,Medium
BM25_Best_Medium,2,7,-0.11675964049539378,0.8897990391186695,0.0640450243479613,1.0919543551406539,1.4384496245779652,Medium
BM25_Best_Medium,2,8,-0.16697402738109302,0.8462215896426286,0.0179426597454735,0.7369417306766401,0.9717063764591019,Medium
BIM_Complex,0,0,-0.34562571351928284,0.7077773490293907,2.950106276942479e-13,0.6450259763279375,0.7766334910276306,Complex
BIM_Complex,0,1,-0.742936835901038,0.47571476578727123,2.547992262147022e-43,0.7702283643295526,0.9492868347993714,Complex
BIM_Complex,0,2,-0.7075148147535595,0.49286754385857207,8.714898315570488e-36,1.0150118592308934,1.221411808902569,Complex
BIM_Complex,0,3,-0.12003683832982975,0.8868877646513729,0.008257945541436417,0.42807650620539844,0.5286544230003913,Complex
BIM_Complex,0,4,-0.2957069099028179,0.7440054566992035,4.189037810836485e-10,1.08092043781866,1.3298224908939036,Complex
BIM_Complex,0,5,-0.20732119246927666,0.8127585561315559,5.540352735724031e-06,0.8125058384879981,1.0079419290328957,Complex
BIM_Complex,0,6,-1.3463530373279287,0.26018742628863517,1.3444918974508048e-86,0.4410661254544137,0.5507528276829509,Complex
BIM_Complex,0,7,-0.2167753923713495,0.8051107830219467,3.682838545672746e-06,0.44656141037081726,0.5933760025016007,Complex
BIM_Complex,0,8,-1.2412777106442163,0.2890147047592538,7.641482861978673e-75,1.0405582242896523,1.2679102682974241,Complex
BIM_Complex,1,0,-0.15655625378428076,0.8550834146719828,0.0033250043611407092,0.8113073342624253,0.969509178421756,Complex
BIM_Complex,1,1,0.18142920162184212,1.1989296514300325,0.000599495718736394,1.6409280551266643,1.925660929903876,Complex
BIM_Complex,1,2,-0.6640526817597862,0.5147609392303503,5.310127920566369e-20,0.972121494355951,1.154002844971567,Complex
BIM_Complex,1,3,0.5752656090382154,1.777602611536271,4.1872476475093775e-45,0.6780826086246223,0.8163372907040963,Complex
BIM_Complex,1,4,-0.3374960088676156,0.7135548225925799,1.6083592761609e-09,0.6394558631818287,0.7962402319866583,Complex
BIM_Complex,1,5,0.20890497085865478,1.2323278859049336,3.554282672498448e-06,1.0784690790764353,1.2908312721143316,Complex
BIM_Complex,1,6,-0.2921035208748818,0.7466912338424401,0.0003693113271099484,0.7432219353463192,0.8888010958089424,Complex
